,Feminine Pronomen,Maskuline Pronomen
0,Sie,
1,Sie,
2,Sie,
3,sie,
4,sie,
5,Sie,
6,sie,
7,sie,
8,sie,
9,sie,
10,,er
11,,Wer
12,sie,
13,,Wer
14,,Wer
15,,Wer
16,,Wer
17,,Wer
18,,wer
19,sie,
20,,Er
21,,er
22,,Er
23,,er
24,sie,
25,,er
26,sie,
27,sie,
28,Sie,
29,Sie,
30,Sie,
31,sie,
32,sie,
33,,ihn
34,Sie,
35,sie,
36,sie,
37,sie,
38,sie,
39,sie,
40,sie,
41,sie,
42,sie,
43,sie,
44,sie,
45,,er
46,,er
47,Sie,
48,sie,
49,sie,
50,sie,
51,sie,
52,sie,
53,sie,
54,,er
55,,er
56,sie,
57,Sie,
58,sie,
59,sie,
60,sie,
61,sie,
62,Sie,
63,Sie,
64,Sie,
65,Sie,
66,sie,
67,sie,
68,sie,
69,sie,
70,sie,
71,Sie,
72,sie,
73,Sie,
74,,er
75,sie,
76,sie,
77,,ihn
78,sie,
79,,wen
80,,wen
81,,ihn
82,,wen
83,,wen
84,,ihn
85,,wen
86,,wen
87,,wen
88,,wen
89,sie,
90,sie,
91,sie,
92,,ihn
93,sie,
94,sie,
95,sie,
96,sie,
97,sie,
98,sie,
99,sie,
100,sie,
101,sie,
102,sie,
103,sie,
104,sie,
105,sie,
106,sie,
107,sie,
108,sie,
109,sie,
110,sie,
111,sie,
112,sie,
113,sie,
114,sie,
115,sie,
116,sie,
117,sie,
118,sie,
119,sie,
120,sie,
121,sie,
122,sie,
123,sie,
124,sie,
125,sie,
126,sie,
127,sie,
128,sie,
129,sie,
130,sie,
131,sie,
132,sie,
133,sie,
134,sie,
135,Sie,
136,sie,
137,Sie,
138,sie,
139,Sie,
140,sie,
141,sie,
142,Sie,
143,sie,
144,sie,
145,sie,
146,Sie,
147,Sie,
148,sie,
149,sie,
150,sie,
151,sie,
152,sie,
153,,wer
154,sie,
155,sie,
156,sie,
157,Sie,
158,sie,
159,Sie,
160,Sie,
161,sie,
162,sie,
163,sie,
164,sie,
165,sie,
166,,wer
167,sie,
168,sie,
169,sie,
170,sie,
171,sie,
172,sie,
173,sie,
174,sie,
175,,wer
176,sie,
177,,wer
178,sie,
179,sie,
180,sie,
181,sie,
182,sie,
183,Sie,
184,sie,
185,sie,
186,sie,
187,sie,
188,sie,
189,,wer
190,sie,
191,Sie,
192,sie,
193,sie,
194,sie,
195,Sie,
196,sie,
197,sie,
198,Sie,
199,sie,
200,sie,
201,sie,
202,,wem
203,,wem
204,,wem
205,,ihn
206,sie,
207,,ihn
208,sie,
209,,ihn
210,sie,
211,sie,
212,Sie,
213,sie,
214,sie,
215,sie,
216,sie,
217,Sie,
218,,Er
219,,Er
220,,er
221,sie,
222,,er
223,,er
224,,er
225,,er
226,,er
227,,er
228,,er
229,,er
230,sie,
231,sie,
232,sie,
233,sie,
234,sie,
235,sie,
236,sie,
237,Sie,
238,Sie,
239,Sie,
240,Sie,
241,Sie,
242,Sie,
243,sie,
244,sie,
245,sie,
246,sie,
247,sie,
248,sie,
249,,wer
250,sie,
251,sie,
252,sie,
253,sie,
254,,wer
255,sie,
256,sie,
257,sie,
258,,wer
259,sie,
260,sie,
261,sie,
262,sie,
263,sie,
264,sie,
265,sie,
266,,ihn
267,sie,
268,sie,
269,,ihn
270,,ihn
271,,ihn
272,sie,
273,sie,
274,,er
275,,er
276,,er
277,sie,
278,,er
279,sie,
280,sie,
281,sie,
282,sie,
283,Sie,
284,sie,
285,Sie,
286,sie,
287,Sie,
288,sie,
289,sie,
290,Sie,
291,sie,
292,sie,
293,sie,
294,sie,
295,sie,
296,sie,
297,sie,
298,sie,
299,sie,
300,sie,
301,sie,
302,sie,
303,,ihn
304,,er
305,,er
306,,ihn
307,sie,
308,sie,
309,sie,
310,sie,
311,sie,
312,sie,
313,sie,
314,sie,
315,sie,
316,sie,
317,sie,
318,sie,
319,Sie,
320,Sie,
321,Sie,
322,sie,
323,Sie,
324,Sie,
325,sie,
326,sie,
327,sie,
328,Sie,
329,Sie,
330,Sie,
331,Sie,
332,Sie,
333,sie,
334,Sie,
335,sie,
336,Sie,
337,sie,
338,sie,
339,Sie,
340,Sie,
341,Sie,
342,Sie,
343,Sie,
344,sie,
345,Sie,
346,Sie,
347,sie,
348,sie,
349,sie,
350,sie,
351,sie,
352,sie,
353,Sie,
354,sie,
355,sie,
356,Sie,
357,Sie,
358,Sie,
359,Sie,
360,sie,
361,Sie,
362,Sie,
363,Sie,
364,sie,
365,Sie,
366,Sie,
367,Sie,
368,sie,
369,Sie,
370,Sie,
371,Sie,
372,Sie,
373,sie,
374,sie,
375,sie,
376,,Wen
377,Sie,
378,Sie,
379,Sie,
380,sie,
381,Sie,
382,Sie,
383,Sie,
384,sie,
385,sie,
386,Sie,
387,sie,
388,Sie,
389,Sie,
390,sie,
391,sie,
392,sie,
393,,wer
394,sie,
395,,
396,,
397,,
398,,
399,,
400,,
401,,
402,,
403,,
404,,
405,,
406,,
407,,
408,,
409,,
410,,
411,,
412,,
413,,
414,,
415,,
416,,
417,,
418,,
419,,
420,,
421,,
422,,
423,,
424,,
425,,
426,,
427,,
428,,
429,,
430,,
431,,
432,,
433,,
434,,
435,,
436,,
437,,
438,,
439,,
440,,
441,,
442,,
443,,
444,,
445,,
446,,
447,,
448,,
449,,
450,,
451,,
452,,
453,,
454,,
455,,
456,,
457,,
458,,
459,,
460,,
461,,
462,,
463,,
464,,
465,,
466,,
467,,
468,,
469,,
470,,
471,,
472,,
473,,
474,,
475,,
476,,
477,,
478,,
479,,
480,,
481,,
482,,
483,,
484,,
485,,
486,,
487,,
488,,
489,,
490,,
491,,
492,,
493,,
494,,
495,,
496,,
497,,
498,,
499,,
500,,
501,,
502,,
503,,
504,,
505,,
506,,
507,,
508,,
509,,
510,,
511,,
512,,
513,,
514,,
515,,
516,,
517,,
518,,
519,,
520,,
521,,
522,,
523,,
524,,
525,,
526,,
527,,
528,,
529,,
530,,
531,,
532,,
533,,
534,,
535,,
536,,
537,,
538,,
539,,
540,,
541,,
542,,
543,,
544,,
545,,
546,,
547,,
548,,
549,,
550,,
551,,
552,,
553,,
554,,
555,,
556,,
557,,
558,,
559,,
560,,
561,,
562,,
563,,
564,,
565,,
566,,
567,,
568,,
569,,
570,,
571,,
572,,
573,,
574,,
575,,
576,,
577,,
578,,
579,,
580,,
581,,
582,,
583,,
584,,
585,,
586,,
587,,
588,,
589,,
590,,
591,,
592,,
593,,
594,,
595,,
596,,
597,,
598,,
599,,
600,,
601,,
602,,
603,,
604,,
605,,
606,,
607,,
608,,
609,,
610,,
611,,
612,,
613,,
614,,
615,,
616,,
617,,
618,,
619,,
620,,
621,,
622,,
623,,
624,,
625,,
626,,
627,,
628,,
629,,
630,,
631,,
632,,
633,,
634,,
635,,
636,,
637,,
638,,
639,,
640,,
641,,
642,,
643,,
644,,
645,,
646,,
647,,
648,,
649,,
650,,
651,,
652,,
653,,
654,,
655,,
656,,
657,,
658,,
659,,
660,,
661,,
662,,
663,,
664,,
665,,
666,,
667,,
668,,
669,,
670,,
671,,
672,,
673,,
674,,
675,,
676,,
677,,
678,,
679,,
680,,
681,,
682,,
683,,
684,,
685,,
686,,
687,,
688,,
689,,
690,,
691,,
692,,
693,,
694,,
695,,
696,,
697,,
698,,
699,,
700,,
701,,
702,,
703,,
704,,
705,,
706,,
707,,
708,,
709,,
710,,
711,,
712,,
713,,
714,,
715,,
716,,
717,,
718,,
719,,
720,,
721,,
722,,
723,,
724,,
725,,
726,,
727,,
728,,
729,,
730,,
731,,
732,,
733,,
734,,
735,,
736,,
737,,
738,,
739,,
740,,
741,,
742,,
743,,
744,,
745,,
746,,
747,,
748,,
749,,
750,,
751,,
752,,
753,,
754,,
755,,
756,,
757,,
758,,
759,,
760,,
761,,
762,,
763,,
764,,
765,,
766,,
767,,
768,,
769,,
770,,
771,,
772,,
773,,
774,,
775,,
776,,
777,,
778,,
779,,
780,,
781,,
782,,
783,,
784,,
785,,
786,,
787,,
788,,
789,,
790,,
791,,
792,,
793,,
794,,
795,,
796,,
797,,
798,,
799,,
800,,
801,,
802,,
803,,
804,,
805,,
806,,
807,,
808,,
809,,
810,,
811,,
812,,
813,,
814,,
815,,
816,,
817,,
818,,
819,,
820,,
821,,
822,,
823,,
824,,
825,,
826,,
827,,
828,,
829,,
830,,
831,,
832,,
833,,
834,,
835,,
836,,
837,,
838,,
839,,
840,,
841,,
842,,
843,,
844,,
845,,
846,,
847,,
848,,
849,,
850,,
851,,
852,,
853,,
854,,
855,,
856,,
857,,
858,,
859,,
860,,
861,,
862,,
863,,
864,,
865,,
866,,
867,,
868,,
869,,
870,,
871,,
872,,
873,,
874,,
875,,
876,,
877,,
878,,
879,,
880,,
881,,
882,,
883,,
884,,
885,,
886,,
887,,
888,,
889,,
890,,
891,,
892,,
893,,
894,,
895,,
896,,
897,,
898,,
899,,
900,,
901,,
902,,
903,,
904,,
905,,
906,,
907,,
908,,
909,,
910,,
911,,
912,,
913,,
914,,
915,,
916,,
917,,
918,,
919,,
920,,
921,,
922,,
923,,
924,,
925,,
926,,
927,,
928,,
929,,
930,,
931,,
932,,
933,,
934,,
935,,
936,,
937,,
938,,
939,,
940,,
941,,
942,,
943,,
944,,
945,,
946,,
947,,
948,,
949,,
950,,
951,,
952,,
953,,
954,,
955,,
956,,
957,,
958,,
959,,
960,,
961,,
962,,
963,,
964,,
965,,
966,,
967,,
968,,
969,,
970,,
971,,
972,,
973,,
974,,
975,,
976,,
977,,
978,,
979,,
980,,
981,,
982,,
983,,
984,,
985,,
986,,
987,,
988,,
989,,
990,,
991,,
992,,
993,,
994,,
995,,
996,,
997,,
998,,
999,,
1000,,
1001,,
1002,,
1003,,
1004,,
1005,,
1006,,
1007,,
1008,,
1009,,
1010,,
1011,,
1012,,
1013,,
1014,,
1015,,
1016,,
1017,,
1018,,
1019,,
1020,,
1021,,
1022,,
1023,,
1024,,
1025,,
1026,,
1027,,
1028,,
1029,,
1030,,
1031,,
1032,,
1033,,
1034,,
1035,,
1036,,
1037,,
1038,,
1039,,
1040,,
1041,,
